wavelength (nm);5_8_2023_1;5_8_2023_2;22_05_2023_1;22_05_2023_2;22_05_2023_3
340;45.43300;39.98000;12.42800;26.13000;51.06900
340.5;45.14100;39.69600;12.26000;25.94500;50.65200
341;44.84500;39.37400;12.15100;25.82300;50.31500
341.5;44.54500;39.00300;12.00700;25.61700;49.99800
342;44.15100;38.67600;11.87300;25.53600;49.71700
342.5;43.73400;38.31200;11.84000;25.41900;49.33800
343;43.22100;37.86100;11.76700;25.22100;49.00700
343.5;42.76900;37.54500;11.67800;24.99600;48.63500
344;42.34300;37.19400;11.54000;24.69400;48.15700
344.5;42.01000;36.80200;11.37800;24.44100;47.70300
345;41.79100;36.50800;11.20200;24.23100;47.26100
345.5;41.63100;36.23800;11.16100;23.99500;46.80000
346;41.39400;35.92200;11.06000;23.78900;46.44100
346.5;41.19400;35.64300;10.99400;23.57700;46.11700
347;40.91900;35.40100;10.96200;23.43300;45.76000
347.5;40.68700;35.19800;10.89600;23.28600;45.37900
348;40.35700;34.89500;10.79500;23.10700;45.02200
348.5;40.05000;34.62300;10.64400;22.95100;44.68400
349;39.70000;34.22100;10.53700;22.74400;44.25500
349.5;39.30600;33.87600;10.37200;22.58800;43.74300
350;38.88300;33.47800;10.25700;22.36200;43.27800
350.5;38.36100;32.98800;10.13100;22.13800;42.83800
351;37.84100;32.58900;10.01100;21.89300;42.37300
351.5;37.51000;32.22200;9.88800;21.66500;41.88900
352;37.27000;31.93200;9.80400;21.37600;41.30400
352.5;36.98300;31.56400;9.65900;21.14100;40.78500
353;36.69100;31.20300;9.56000;20.87300;40.27200
353.5;36.54200;30.97900;9.47100;20.64700;39.84000
354;36.27300;30.66000;9.41900;20.43600;39.37500
354.5;35.92000;30.40000;9.29200;20.24100;38.91000
355;35.57200;30.08200;9.16400;20.04900;38.50300
355.5;35.12700;29.64900;9.03100;19.82200;38.08800
356;34.73900;29.34000;8.93000;19.59200;37.64700
356.5;34.38700;28.98000;8.78500;19.35300;37.18600
357;34.03200;28.58900;8.70400;19.06500;36.68600
357.5;33.60500;28.09300;8.57000;18.93400;36.38800
358;33.20300;27.71900;8.45000;18.75600;36.03300
358.5;32.95400;27.44600;8.35600;18.62100;35.71400
359;32.64900;27.14900;8.24000;18.47800;35.41400
359.5;32.31500;26.83000;8.11700;18.27000;34.99800
360;31.93200;26.41800;8.00300;18.03100;34.47200
360.5;31.35200;25.85400;7.92900;17.72900;33.95900
361;30.84500;25.39100;7.90800;17.42400;33.43100
361.5;30.48800;24.97500;7.83200;17.17100;32.96200
362;30.25900;24.74000;7.75300;16.97400;32.63500
362.5;30.12800;24.63900;7.66700;16.83300;32.30500
363;30.02700;24.53000;7.53100;16.69300;31.94600
363.5;30.14100;24.61300;7.44300;16.57000;31.65500
364;30.13600;24.56600;7.31000;16.38100;31.40200
364.5;29.92000;24.39200;7.19400;16.13600;30.98000
365;29.57600;24.05700;7.08100;15.85100;30.52800
365.5;29.01800;23.47300;6.98800;15.52400;29.98000
366;28.57700;22.94000;6.89000;15.23100;29.42000
366.5;28.16100;22.42300;6.75200;14.99300;28.95700
367;27.64800;21.91200;6.60500;14.80200;28.53700
367.5;27.11300;21.37100;6.42300;14.59800;28.08700
